trade_date,high,low,close,pct_chg
20120816,2335.4,2317.06,2319.67,-0.51
20120815,2350.02,2330.15,2331.61,-1.08
20120814,2357.85,2324.91,2357.02,0.22
20120813,2394.5,2350.81,2351.93,-1.99
20120810,2413.42,2395.91,2399.75,-0.5
20120809,2412.14,2378.85,2411.7,0.92
20120808,2405.18,2382.82,2389.8,0.04
20120807,2390.78,2379.45,2388.87,0.14
20120806,2388.36,2348.12,2385.61,1.35
20120803,2354.16,2329.93,2353.74,0.81
20120802,2358.56,2325.61,2334.88,-1.01
20120801,2371.12,2331.95,2358.65,1.1
20120731,2350.07,2329.51,2332.92,-0.12
20120730,2367.03,2334,2335.79,-0.57
20120727,2364.98,2341.29,2349.11,0.07
20120726,2374.87,2344.7,2347.49,-0.53
20120725,2381.04,2357.47,2360.08,-0.67
20120724,2392.35,2352.8,2375.99,0.45
20120723,2379.89,2357.51,2365.43,-1.38
20120720,2423.8,2392.18,2398.46,-1.07
20120719,2444.06,2401.29,2424.32,0.41
20120718,2420.78,2373.65,2414.34,0.01
20120717,2421.93,2391.28,2414.2,0.6
20120716,2452.59,2399.61,2399.73,-2.08
20120713,2467.99,2438.98,2450.63,0.06
20120712,2460.56,2404.58,2449.18,0.97
20120711,2427.8,2402.15,2425.57,0.78
20120710,2426.53,2402.37,2406.71,-0.39
20120709,2470.21,2414.95,2416.04,-2.29
20120706,2477.23,2420.36,2472.61,1.74
20120705,2450.3,2420,2430.37,-1.4
20120704,2481.34,2456,2464.92,-0.15
20120703,2490.55,2457.45,2468.72,0.14
20120702,2473.97,2452.99,2465.24,0.15
20120629,2462.82,2417.49,2461.61,1.48
20120628,2459.19,2425.24,2425.73,-0.88
20120627,2470.76,2444.34,2447.2,-0.31
20120626,2465.12,2434.64,2454.92,-0.07
20120625,2501.16,2455.01,2456.52,-2.22
20120621,2547.05,2502.42,2512.19,-1.58
20120620,2570.66,2549.44,2552.61,-0.23
20120619,2577.36,2556.1,2558.62,-0.88
20120618,2593.22,2572.99,2581.21,0.51
20120615,2580.17,2538.57,2568.05,0.3
20120614,2584.71,2558.57,2560.42,-0.78
20120613,2581.11,2539.63,2580.64,1.59
20120612,2553.92,2529.95,2540.18,-0.71
20120611,2565.43,2523.77,2558.27,1.34
20120608,2559.13,2520.41,2524.33,-0.7
20120607,2584.04,2536.26,2542.18,-0.6
20120606,2573.74,2547.33,2557.4,-0.06
20120605,2573.89,2548.76,2558.84,-0.01
20120604,2608.32,2558.92,2559.03,-2.81
20120601,2653.86,2623.29,2633,0.04
20120531,2645.59,2617.23,2632.04,-0.39
20120530,2655.16,2636.52,2642.26,-0.32
20120529,2658.26,2612.56,2650.85,1.38
20120528,2614.85,2545.34,2614.69,1.62
20120525,2602.17,2565.65,2573.1,-0.85
20120524,2630.41,2588.21,2595.26,-0.83
20120523,2635.78,2598.29,2616.87,-0.41
20120522,2627.6,2597.6,2627.53,1.56
20120521,2604.22,2563.97,2587.23,0.51
20120518,2603.19,2567.3,2573.98,-1.53
